# "Unsafe" variant map
𠆤 => 丁
𠀁 => 七
𠀋 => 丈
丄 => 上
𠄞 => 上
丅 => 下
𠄟 => 下
𣎴 => 不
𠀚 => 不
丒 => 丑
𠃠 => 丑
𠀃 => 且
𠀇 => 且
丗 => 世
𠀍 => 世
㔺 => 世
卋 => 世
𠦔 => 世
𠀈 => 丘
𠀉 => 丘
𠀌 => 丘
㐀 => 丘
丠 => 丘
𠀜 => 丘
𠀤 => 並
𡘋 => 並
竝 => 並
𠁦 => 中
𠁧 => 中
𠁩 => 中
𠁽 => 丸
𠁿 => 丹
𠂁 => 丹
𢎗 => 乃
𢎧 => 乃
乆 => 久
𠃔 => 久
𠆥 => 久
𫝄 => 久
𠔇 => 之
𠆦 => 乍
𠂜 => 乏
𣥄 => 乏
𠂯 => 乖
𫡙 => 乖
𠁰 => 乖
乗 => 乘
𠅞 => 乘
𠅟 => 乘
𣒧 => 乘
椉 => 乘
𠓸 => 乘
𢂫 => 尹
𢌬 => 九
𠧒 => 乞
𠃒 => 也
𠔄 => 也
𠃟 => 也
𦫴 => 也
𦬀 => 也
𠃵 => 乾
𪟴 => 乾
亁 => 乾
𠄃 => 乾
𠄄 => 乾
𠄊 => 乾
𠄋 => 乾
釠 => 亂
𢮣 => 亂
亊 => 事
𠁱 => 事
𠭏 => 事
𠄠 => 二
𠂌 => 于
㸦 => 互
𢆰 => 互
𫝀 => 五
𠄡 => 五
𠀕 => 亙
𠄣 => 亙
𠄭 => 亙
𠀓 => 亞
亜 => 亞
𠄮 => 亞
焏 => 亟
亾 => 亡
兦 => 亡
𠅁 => 亡
𠕵 => 亢
𪜠 => 亢
𠀅 => 亥
㐪 => 亥
𠅆 => 亥
𡭡 => 亥
𡗕 => 亦
𠅖 => 享
𠅠 => 享
𢂋 => 京
亰 => 京
𠅘 => 亭
𠅙 => 亮
讎 => 仇
𫝆 => 今
𠇈 => 仙
仭 => 仞
㕥 => 以
𢓩 => 任
𠈽 => 伊
𠜧 => 伊
𠜰 => 伊
𦯴 => 伊
𠇲 => 休
仾 => 低
𠇓 => 低
𫢏 => 低
𠍪 => 低
𠇸 => 佐
𠇛 => 佛
𠇡 => 佛
㑅 => 作
伱 => 你
倂 => 併
𠉕 => 使
𠈎 => 侈
𠊖 => 例
𠎚 => 侖
㑴 => 侵
侣 => 侶
𠊳 => 便
㑓 => 俊
𠊂 => 俊
𠉚 => 俗
兪 => 俞
㑨 => 俟
𠇅 => 信
俢 => 修
𢔜 => 修
倶 => 俱
畀 => 俾
𠈷 => 俾
仺 => 倉
𫝉 => 倉
𪜭 => 個
𠊑 => 倍
𠋭 => 倍
𠉀 => 候
𠊱 => 候
𠋣 => 倚
𠎥 => 借
𫢳 => 倪
値 => 值
𠍾 => 偃
𠋋 => 偉
偸 => 偷
僞 => 偽
𠊓 => 傍
𠎀 => 傑
𠌂 => 傘
𠍘 => 傘
偹 => 備
𠇇 => 傳
𫝊 => 傳
𠇢 => 傷
儍 => 傻
𠏗 => 僚
𠍶 => 儒
𠏊 => 儷
𠐚 => 儷
𪝫 => 儼
𫤌 => 儼
𠘭 => 允
𡉵 => 兆
𡊥 => 兆
𤐥 => 光
𤑋 => 光
𣳂 => 克
𠅔 => 克
𡱠 => 克
𠧳 => 克
𠧹 => 克
𠅡 => 克
𠧻 => 克
兌 => 兑
児 => 兒
皃 => 兒
𫤗 => 兒
𠒆 => 兒
𠒇 => 兒
𫤘 => 兒
兎 => 兔
𠒃 => 兕
𠒅 => 兕
兖 => 兗
兠 => 兜
𠒟 => 兜
𠙡 => 兜
𠙧 => 兜
𠒔 => 兢
𠓆 => 兢
内 => 內
㒳 => 兩
㒶 => 公
𠦛 => 兵
𠔐 => 其
𡿸 => 其
𠔛 => 其
𠔝 => 其
𠚙 => 其
𠔓 => 典
𠔥 => 兼
兾 => 冀
册 => 冊
𠕋 => 冊
冐 => 冒
𠕬 => 冒
冣 => 最
㝡 => 最
𠖁 => 冠
𡨘 => 冤
𠖇 => 冥
㝠 => 冥
䆩 => 冥
𥦴 => 冥
𠔾 => 冬
𠂂 => 冬
𡦿 => 冬
𢍐 => 冬
𤽘 => 冬
𤽫 => 冬
𢒣 => 冬
𤽬 => 冬
𠗗 => 冽
𠗢 => 冽
涷 => 凍
凢 => 凡
凣 => 凡
𤼫 => 凳
櫈 => 凳
岀 => 出
𦥖 => 函
凾 => 函
𠚗 => 函
𠚣 => 刀
刄 => 刃
𠀦 => 刑
𠛬 => 刑
𠛱 => 列
𠜊 => 列
𠞤 => 列
别 => 別
删 => 刪
𠛹 => 刪
𠜂 => 刪
𡬬 => 刪
劵 => 券
𠜇 => 刻
刴 => 剁
𫝐 => 前
刹 => 剎
𠝒 => 剖
